ip_address,port,hostname,country,as_number,as_name,status,first_seen,timestamp,malware,source
51.178.161.32,4643,srv-web.ffconsulting.com,FR,16276,OVH,online,1610869486,1663459200,Dridex,Feodotracker
198.199.70.22,8080,,US,14061,DIGITALOCEAN-ASN,online,1654718705,1663459200,Emotet,Feodotracker
165.22.254.68,443,,SG,14061,DIGITALOCEAN-ASN,online,1654718707,1663459200,Emotet,Feodotracker
144.91.78.55,443,vmi324552.contaboserver.net,DE,51167,CONTABO,online,1655156815,1663459200,Emotet,Feodotracker
172.105.226.75,8080,li1880-75.members.linode.com,JP,63949,"LINODE-AP Linode, LLC",online,1655156818,1663459200,Emotet,Feodotracker
139.162.113.169,8080,li1597-169.members.linode.com,JP,63949,"LINODE-AP Linode, LLC",online,1655299045,1663459200,Emotet,Feodotracker
54.38.136.111,443,,FR,16276,OVH,online,1656005860,1663459200,BumbleBee,Feodotracker
51.83.253.131,443,,FR,16276,OVH,online,1656018161,1663459200,BumbleBee,Feodotracker
54.37.131.14,443,,FR,16276,OVH,online,1656349747,1663459200,BumbleBee,Feodotracker
54.38.136.209,443,,FR,16276,OVH,online,1656540610,1663459200,BumbleBee,Feodotracker
54.38.138.94,443,,FR,16276,OVH,online,1656608408,1663459200,BumbleBee,Feodotracker
213.239.212.5,443,static.213-239-212-5.clients.your-server.de,DE,24940,HETZNER-AS,online,1656622812,1663459200,Emotet,Feodotracker
188.165.79.151,443,ip151.ip-188-165-79.eu,FR,16276,OVH,online,1656622812,1663459200,Emotet,Feodotracker
45.55.191.130,443,,US,14061,DIGITALOCEAN-ASN,online,1656622813,1663459200,Emotet,Feodotracker
174.138.33.49,7080,,US,14061,DIGITALOCEAN-ASN,online,1656622813,1663459200,Emotet,Feodotracker
104.168.155.143,8080,cns63397.hostwindsdns.com,US,54290,HOSTWINDS,online,1656622815,1663459200,Emotet,Feodotracker
104.248.155.133,443,,SG,14061,DIGITALOCEAN-ASN,online,1656622815,1663459200,Emotet,Feodotracker
128.199.93.156,7080,,SG,14061,DIGITALOCEAN-ASN,online,1656622816,1663459200,Emotet,Feodotracker
51.161.73.194,443,ip194.ip-51-161-73.net,CA,16276,OVH,online,1654709112,1663459200,Emotet,Feodotracker
178.128.23.9,8081,,SG,14061,DIGITALOCEAN-ASN,online,1656644726,1663459200,Emotet,Feodotracker
138.197.68.35,8080,,US,14061,DIGITALOCEAN-ASN,online,1654634700,1663459200,Emotet,Feodotracker
207.154.208.93,8080,,DE,14061,DIGITALOCEAN-ASN,online,1654377894,1663459200,Emotet,Feodotracker
104.34.212.7,32103,cpe-104-34-212-7.socal.res.rr.com,US,20001,TWC-20001-PACWEST,online,1650979141,1663459200,QakBot,Feodotracker
178.62.112.199,8080,,GB,14061,DIGITALOCEAN-ASN,online,1651043051,1663459200,Emotet,Feodotracker
150.95.66.124,8080,v150-95-66-124.a005.g.bkk2.static.cnode.io,SG,135161,"GMO-Z-COM-TH GMO-Z com NetDesign Holdings Co., Ltd.",online,1652287635,1663459200,Emotet,Feodotracker
104.248.225.227,8080,,US,14061,DIGITALOCEAN-ASN,online,1652429411,1663459200,Emotet,Feodotracker
